date,track,artist,streams,day_of_week,week_of_year
2024-11-21,Last Christmas,Wham!,19555376,Thursday,47
2024-11-21,Rockin' Around the Christmas Tree,Brenda Lee,14591689,Thursday,47
2024-11-21,Santa Tell Me,Ariana Grande,12932270,Thursday,47
2024-11-28,All I Want for Christmas Is You,Mariah Carey,28988715,Thursday,48
2024-11-28,Feliz Navidad,José Feliciano,11302691,Thursday,48
2024-11-28,It's Beginning to Look a Lot Like Christmas,Michael Bublé,14210678,Thursday,48
2024-11-28,Jingle Bell Rock,Bobby Helms,18729517,Thursday,48
2024-11-28,Last Christmas,Wham!,26812906,Thursday,48
2024-11-28,Rockin' Around the Christmas Tree,Brenda Lee,21568493,Thursday,48
2024-11-28,Santa Tell Me,Ariana Grande,18147498,Thursday,48
2024-12-05,All I Want for Christmas Is You,Mariah Carey,44056478,Thursday,49
2024-12-05,Feliz Navidad,José Feliciano,19452273,Thursday,49
2024-12-05,It's Beginning to Look a Lot Like Christmas,Michael Bublé,22538475,Thursday,49
2024-12-05,Jingle Bell Rock,Bobby Helms,30821472,Thursday,49
2024-12-05,Last Christmas,Wham!,43542785,Thursday,49
2024-12-05,Rockin' Around the Christmas Tree,Brenda Lee,36240442,Thursday,49
2024-12-05,Santa Tell Me,Ariana Grande,28953248,Thursday,49
2024-12-12,All I Want for Christmas Is You,Mariah Carey,47514211,Thursday,50
2024-12-12,Feliz Navidad,José Feliciano,21780383,Thursday,50
2024-12-12,It's Beginning to Look a Lot Like Christmas,Michael Bublé,24073016,Thursday,50
2024-12-12,Jingle Bell Rock,Bobby Helms,36801037,Thursday,50
2024-12-12,Last Christmas,Wham!,46992149,Thursday,50
2024-12-12,Rockin' Around the Christmas Tree,Brenda Lee,40460504,Thursday,50
2024-12-12,Santa Tell Me,Ariana Grande,31559275,Thursday,50
2024-12-19,All I Want for Christmas Is You,Mariah Carey,51621732,Thursday,51
2024-12-19,Feliz Navidad,José Feliciano,25708186,Thursday,51
2024-12-19,It's Beginning to Look a Lot Like Christmas,Michael Bublé,26548915,Thursday,51
2024-12-19,Jingle Bell Rock,Bobby Helms,41055176,Thursday,51
2024-12-19,Last Christmas,Wham!,50554131,Thursday,51
2024-12-19,Rockin' Around the Christmas Tree,Brenda Lee,44823735,Thursday,51
2024-12-19,Santa Tell Me,Ariana Grande,34645959,Thursday,51
2024-12-26,All I Want for Christmas Is You,Mariah Carey,92506541,Thursday,52
2024-12-26,Feliz Navidad,José Feliciano,48740674,Thursday,52
2024-12-26,It's Beginning to Look a Lot Like Christmas,Michael Bublé,47360169,Thursday,52
2024-12-26,Jingle Bell Rock,Bobby Helms,72625966,Thursday,52
2024-12-26,Last Christmas,Wham!,91090914,Thursday,52
2024-12-26,Rockin' Around the Christmas Tree,Brenda Lee,82406485,Thursday,52
2024-12-26,Santa Tell Me,Ariana Grande,60264421,Thursday,52
2025-01-02,All I Want for Christmas Is You,Mariah Carey,11199904,Thursday,1
2025-01-02,Last Christmas,Wham!,11565422,Thursday,1
2025-01-02,Rockin' Around the Christmas Tree,Brenda Lee,8533518,Thursday,1
2025-11-06,All I Want for Christmas Is You,Mariah Carey,10679069,Thursday,45
2025-11-06,Last Christmas,Wham!,8776792,Thursday,45
2025-11-13,All I Want for Christmas Is You,Mariah Carey,14176619,Thursday,46
2025-11-13,Jingle Bell Rock,Bobby Helms,8905332,Thursday,46
2025-11-13,Last Christmas,Wham!,12541769,Thursday,46
2025-11-13,Rockin' Around the Christmas Tree,Brenda Lee,9897609,Thursday,46
2025-11-13,Santa Tell Me,Ariana Grande,9083220,Thursday,46
2025-11-20,All I Want for Christmas Is You,Mariah Carey,17855568,Thursday,47
2025-11-20,It's Beginning to Look a Lot Like Christmas,Michael Bublé,9133205,Thursday,47
2025-11-20,Jingle Bell Rock,Bobby Helms,12045395,Thursday,47
2025-11-20,Last Christmas,Wham!,16382300,Thursday,47
2025-11-20,Rockin' Around the Christmas Tree,Brenda Lee,12912321,Thursday,47
2025-11-20,Santa Tell Me,Ariana Grande,11651103,Thursday,47
